item_name,variation,body_title,pattern,pattern_title,diy,body_customize,pattern_customize,kit_cost,buy,sell,color_1,color_2,miles_price,source,source_notes,version,hha_concept_1,hha_concept_2,hha_series,hha_set,interact,tag,outdoor,speaker_type,lightning_type,catalog,file_name,internal_id,unique_entry_id,variant_1,variant_2,size_x,size_y
anchor statue,Black,Color,,,0,1,0,2,,1400,Black,Beige,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_0_0,7238,zgw6WaZRQgrpQ5FTC,0,0,1,1
anchor statue,Silver,Color,,,0,1,0,2,,1400,Gray,Beige,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_1_0,7238,hdZokWHmfoFTt2FjM,1,0,1,1
anchor statue,Gold,Color,,,0,1,0,2,,1400,Brown,Beige,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_2_0,7238,NNfoBT2rgDcmG5HhD,2,0,1,1
anchor statue,White,Color,,,0,1,0,2,,1400,White,Beige,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_3_0,7238,ZWyY2rRANgXoGcDha,3,0,1,1
anchor statue,Blue,Color,,,0,1,0,2,,1400,Blue,White,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_4_0,7238,vRhn2x3vj2mii4AKH,4,0,1,1
anchor statue,Retro,Color,,,0,1,0,2,,1400,Brown,Gray,,Fishing Tourney,,1.0.0,ocean,,,,No,Seaside,1,Does not play music,No lighting,0,FtrShipanchor_Remake_5_0,7238,6wyLNus8QqXkbBu72,5,0,1,1
angled signpost,Home,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_0_0,7867,kzirasu23o7Xwz8Cg,0,0,1,1
angled signpost,Forest,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_1_0,7867,8MxLKTxpMDwarBE2M,1,0,1,1
angled signpost,Fishing Spot,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_2_0,7867,uvn5kiMi84NMuesmb,2,0,1,1
angled signpost,Resident Services,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_3_0,7867,D2bHBoj8ZotiBiahp,3,0,1,1
angled signpost,Airport,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_4_0,7867,BGaTv6ghfWHQohYJz,4,0,1,1
angled signpost,Shop,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_5_0,7867,QNTrffSxKbCJH3C2s,5,0,1,1
angled signpost,Tailors,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_6_0,7867,TW9n423omNZDjZ9hp,6,0,1,1
angled signpost,Museum,Navigation,,,1,1,0,1,,600,Beige,Brown,,Crafting,,1.0.0,garden,,,,No,Vehicle,1,Does not play music,No lighting,0,FtrSignpostTilt_Remake_7_0,7867,wPX6wELbCn9Jyb37A,7,0,1,1
antique bed,Brown,,,,0,0,0,,28000,7000,Brown,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,0,Does not play music,No lighting,1,FtrAntiqueBedW_Remake_0_0,3957,c7rQKnQBvtMCpGNhr,0,0,2,2
antique bed,Natural,,,,0,0,0,,28000,7000,Beige,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,0,Does not play music,No lighting,1,FtrAntiqueBedW_Remake_1_0,3957,gMCFieFjJLX4yXBPJ,1,0,2,2
antique bed,Black,,,,0,0,0,,28000,7000,Black,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Bed,0,Does not play music,No lighting,1,FtrAntiqueBedW_Remake_2_0,3957,s5ZQQKh3XYcue8R6S,2,0,2,2
antique bureau,Brown,,,,0,0,0,,20000,5000,Brown,Brown,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,0,Does not play music,No lighting,1,FtrAntiqueBureau_Remake_0_0,3956,eqP7Ro4PzjhZFGMaX,0,0,1,1
antique bureau,Natural,,,,0,0,0,,20000,5000,Beige,Beige,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,0,Does not play music,No lighting,1,FtrAntiqueBureau_Remake_1_0,3956,PwbzwqaKiZ7CPKgh6,1,0,1,1
antique bureau,Black,,,,0,0,0,,20000,5000,Black,Black,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Desk,0,Does not play music,No lighting,1,FtrAntiqueBureau_Remake_2_0,3956,nTM9BgbxMArEAuPda,2,0,1,1
antique chair,Brown,,,,0,0,0,,10000,2500,Brown,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,0,Does not play music,No lighting,1,FtrAntiqueChairS_Remake_0_0,3950,gzBvzGmkCqvaa4dfg,0,0,1,1
antique chair,Natural,,,,0,0,0,,10000,2500,Beige,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,0,Does not play music,No lighting,1,FtrAntiqueChairS_Remake_1_0,3950,d4oC34hgWHdZAv8dT,1,0,1,1
antique chair,Black,,,,0,0,0,,10000,2500,Black,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Chair,0,Does not play music,No lighting,1,FtrAntiqueChairS_Remake_2_0,3950,eCZttstT4S3Tr4ZSj,2,0,1,1
antique clock,Brown,,,,0,0,0,,44000,11000,Brown,Yellow,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,0,Does not play music,No lighting,1,FtrAntiqueClock_Remake_0_0,3954,54WzSWz3bv4j4279w,0,0,1,1
antique clock,Natural,,,,0,0,0,,44000,11000,Beige,Yellow,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,0,Does not play music,No lighting,1,FtrAntiqueClock_Remake_1_0,3954,aPDaateHnZ2K7rnCX,1,0,1,1
antique clock,Black,,,,0,0,0,,44000,11000,Black,Yellow,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Clock,0,Does not play music,No lighting,1,FtrAntiqueClock_Remake_2_0,3954,prDor5kTcy7ahzz5c,2,0,1,1
antique console table,Brown,,,,0,0,0,,17000,4250,Brown,Brown,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueConsole_Remake_0_0,3951,kKSfnnXLBk2BMbWEo,0,0,2,1
antique console table,Natural,,,,0,0,0,,17000,4250,Beige,Beige,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueConsole_Remake_1_0,3951,SBphLepffHinkmtPf,1,0,2,1
antique console table,Black,,,,0,0,0,,17000,4250,Black,Black,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueConsole_Remake_2_0,3951,7i4eJMFhi2gzqMEZ8,2,0,2,1
antique mini table,Brown,,,,0,0,0,,6700,1675,Brown,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableS_Remake_0_0,3958,WZyBrwSZD4wZtqcBJ,0,0,1,1
antique mini table,Natural,,,,0,0,0,,6700,1675,Beige,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableS_Remake_1_0,3958,epWuBMh226r3nu7xh,1,0,1,1
antique mini table,Black,,,,0,0,0,,6700,1675,Black,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableS_Remake_2_0,3958,2n955ZXXD3RXt9gjE,2,0,1,1
antique table,Brown,,,,0,0,0,,25000,6250,Brown,Brown,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableL_Remake_0_0,3952,F4jrEYe9x7W4E2wYE,0,0,2,2
antique table,Natural,,,,0,0,0,,25000,6250,Beige,Beige,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableL_Remake_1_0,3952,ptPHtvKpF2JCkS9Zw,1,0,2,2
antique table,Black,,,,0,0,0,,25000,6250,Black,Black,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,No,Table,0,Does not play music,No lighting,1,FtrAntiqueTableL_Remake_2_0,3952,x2K5wv9K8qGXcmukB,2,0,2,2
antique vanity,Brown,,,,0,0,0,,31000,7750,Brown,Light blue,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,0,Does not play music,No lighting,1,FtrAntiqueDresser_Remake_0_0,3955,qLtWDehmX53gwgha7,0,0,2,1
antique vanity,Natural,,,,0,0,0,,31000,7750,Beige,Light blue,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,0,Does not play music,No lighting,1,FtrAntiqueDresser_Remake_1_0,3955,2bRbENZWkM9BeuiwZ,1,0,2,1
antique vanity,Black,,,,0,0,0,,31000,7750,Black,Light blue,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,Yes,Dresser,0,Does not play music,No lighting,1,FtrAntiqueDresser_Remake_2_0,3955,b5MR8PraRhrJzsqYi,2,0,2,1
antique wardrobe,Brown,,,,0,0,0,,37000,9250,Brown,Brown,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,,Chest,0,Does not play music,No lighting,1,FtrAntiqueChest_Remake_0_0,3959,XAnaYsJ8wouWyBBsu,0,0,2,1
antique wardrobe,Natural,,,,0,0,0,,37000,9250,Beige,Beige,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,,Chest,0,Does not play music,No lighting,1,FtrAntiqueChest_Remake_1_0,3959,yBtLh6CtFrGD4qTTF,1,0,2,1
antique wardrobe,Black,,,,0,0,0,,37000,9250,Black,Black,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,living room,expensive,antique,,,Chest,0,Does not play music,No lighting,1,FtrAntiqueChest_Remake_2_0,3959,Tjvexu4etCrRoAAw4,2,0,2,1
apple chair,Red apple,Fruit type,,,1,1,0,4,,2480,Red,Yellow,,Crafting,,1.0.0,fancy,,fruits,apple,Yes,Chair,0,Does not play music,No lighting,0,FtrFruitsChairApple_Remake_0_0,4134,qonCdPiLCmFNtYMsG,0,0,1,1
apple chair,Green apple,Fruit type,,,1,1,0,4,,2480,Green,Yellow,,Crafting,,1.0.0,fancy,,fruits,apple,Yes,Chair,0,Does not play music,No lighting,0,FtrFruitsChairApple_Remake_1_0,4134,rjPaqoEyZ2FHDjbkn,1,0,1,1
Aquarius urn,,,,,1,0,0,,,22125,White,Yellow,,Crafting,,1.0.0,expensive,bathroom,stars,,No,Bathroom Things,0,Does not play music,No lighting,0,FtrZodiacAquarius,5956,dYz86HHwPAWYn5c3Z,0,0,1,1
arcade combat game,,,,,0,0,0,,64000,16000,White,Blue,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,0,Does not play music,Monitor,1,FtrArcadegameShooting,8226,f7tatK2cmYwskb5LS,0,0,1,1
arcade fighting game,,,,,0,0,0,,64000,16000,White,Red,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,0,Does not play music,Monitor,1,FtrArcadegameFight,8225,3CKqHScHJuqbW7e4u,0,0,1,1
arcade mahjong game,,,,,0,0,0,,64000,16000,White,Green,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the third unique furniture slot",1.0.0,facility,shop,,,Yes,Toy,0,Does not play music,Monitor,1,FtrArcadegameMahjong,8227,vNB5LbWmPm2uQhdjo,0,0,1,1
arcade seat,Red,,,,0,0,0,,1300,325,Red,Gray,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,0,Does not play music,No lighting,1,FtrGameChair_Remake_0_0,12207,BHxt8Xrz3RxHAq45c,0,0,1,1
arcade seat,Gray,,,,0,0,0,,1300,325,Gray,Gray,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,0,Does not play music,No lighting,1,FtrGameChair_Remake_1_0,12207,qvAcGrMSRKdMPWZAF,1,0,1,1
arcade seat,Blue,,,,0,0,0,,1300,325,Blue,Gray,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,facility,shop,,,Yes,Chair,0,Does not play music,No lighting,1,FtrGameChair_Remake_2_0,12207,DZ3hFRhqZ5W62XQ4C,2,0,1,1
Aries rocking chair,,,,,1,0,0,,,12125,White,Yellow,,Crafting,,1.0.0,expensive,fancy,stars,,Yes,Toy,0,Does not play music,No lighting,0,FtrZodiacAries,5954,MLxrGfmKBYNQoqYYu,0,0,1,1
artisanal bug cage,,,,,0,0,0,,,450,Brown,Brown,,Bug-Off,,1.0.0,garden,facility,,,,Ranch,1,Does not play music,No lighting,0,FtrEventobjInsectBox,7839,GsEBBC4JpEgwjgv6e,0,0,2,1
asteroid,,,,,1,0,0,,,4000,Black,Black,,Crafting,,1.0.0,space,facility,,,Yes,Space,1,Does not play music,No lighting,0,FtrMeteo,1439,oAQNzhuKcCvh4E9a4,0,0,1,1
astronaut suit,,,,,1,0,0,,,6250,White,Black,,Crafting,,1.0.0,space,,,,No,Space,1,Does not play music,No lighting,0,FtrSpacesuit,1445,mBhzWedMXNB5HSrKa,0,0,1,1
automatic washer,White,,,,0,0,0,,4500,1125,White,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_0_0,2740,4YqpCyGk4ndhAWjS8,0,0,1,1
automatic washer,Pink,,,,0,0,0,,4500,1125,Red,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_1_0,2740,wdpzZgQz8aJvnkY33,1,0,1,1
automatic washer,Blue,,,,0,0,0,,4500,1125,Blue,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_2_0,2740,vCcK4sAa2HDC2cLQG,2,0,1,1
automatic washer,Green,,,,0,0,0,,4500,1125,Green,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_3_0,2740,xwWJ4q9SvKAkwKAf9,3,0,1,1
automatic washer,Yellow,,,,0,0,0,,4500,1125,Yellow,White,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_4_0,2740,uKASWdnn2i8tv3W9G,4,0,1,1
automatic washer,Black,,,,0,0,0,,4500,1125,Black,Black,,Nook's Cranny,"Available in Nook's Cranny (upgraded only), in the unique furniture slot",1.0.0,bathroom,,,,Yes,Home Appliances,0,Does not play music,No lighting,1,FtrWashingmachine_Remake_5_0,2740,z8zJrXKQxbrLnXXLv,5,0,1,1
baby chair,Red,,Bear,Cushion,0,0,1,1,1200,300,Red,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_0_0,3305,uzH4uc5wXZiAeRrDx,0,0,1,1
baby chair,Red,,Strawberry,Cushion,0,0,1,1,1200,300,Red,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_0_1,3305,Mzjo4jFrqZdhCPTR3,0,1,1,1
baby chair,Red,,Butterfly,Cushion,0,0,1,1,1200,300,Red,Orange,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_0_2,3305,SNPkuumtp6rc7Df7k,0,2,1,1
baby chair,Red,,Train,Cushion,0,0,1,1,1200,300,Red,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_0_3,3305,9g8Jq3bPaDbew3GZg,0,3,1,1
baby chair,Red,,Paw print,Cushion,0,0,1,1,1200,300,Red,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_0_4,3305,imMXebxofRWTiDB2y,0,4,1,1
baby chair,Pink,,Bear,Cushion,0,0,1,1,1200,300,Pink,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_1_0,3305,QRHpTEn6WNZZxv8bd,1,0,1,1
baby chair,Pink,,Strawberry,Cushion,0,0,1,1,1200,300,Pink,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_1_1,3305,kiYP9J9thzGkP2ZXQ,1,1,1,1
baby chair,Pink,,Butterfly,Cushion,0,0,1,1,1200,300,Pink,Orange,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_1_2,3305,5x8pLSL8XjbZnCBQQ,1,2,1,1
baby chair,Pink,,Train,Cushion,0,0,1,1,1200,300,Pink,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_1_3,3305,6tfwMtaYLE5KtAQKS,1,3,1,1
baby chair,Pink,,Paw print,Cushion,0,0,1,1,1200,300,Pink,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_1_4,3305,ihucEvtrsesPCYZB2,1,4,1,1
baby chair,Yellow,,Bear,Cushion,0,0,1,1,1200,300,Yellow,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_2_0,3305,SrYrGG6KFSsL2t44t,2,0,1,1
baby chair,Yellow,,Strawberry,Cushion,0,0,1,1,1200,300,Yellow,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_2_1,3305,BpCJtM8aCQG4npCgi,2,1,1,1
baby chair,Yellow,,Butterfly,Cushion,0,0,1,1,1200,300,Yellow,Orange,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_2_2,3305,2viSrxqmyLaJvzTCN,2,2,1,1
baby chair,Yellow,,Train,Cushion,0,0,1,1,1200,300,Yellow,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_2_3,3305,TaiysCHzEZcmoaWxh,2,3,1,1
baby chair,Yellow,,Paw print,Cushion,0,0,1,1,1200,300,Yellow,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_2_4,3305,kfty2gGw5RRZSn83e,2,4,1,1
baby chair,Green,,Bear,Cushion,0,0,1,1,1200,300,Green,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_3_0,3305,GbFytCa455MMYZwsP,3,0,1,1
baby chair,Green,,Strawberry,Cushion,0,0,1,1,1200,300,Green,Colorful,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_3_1,3305,5uhAs2KBzMWDjBhhN,3,1,1,1
baby chair,Green,,Butterfly,Cushion,0,0,1,1,1200,300,Green,Orange,,Nook's Cranny,Available in Nook's Cranny (either upgrade tier) in the unique furniture slot,1.0.0,child's room,,,,Yes,Chair,0,Does not play music,No lighting,1,FtrBabychair_Remake_3_2,3305,AAvLv8NDKAbmDAn5n,3,2,1,1
