items_internal_id,items_variant_1,items_variant_2,hha_hha_id,hha_value
2740,3,0,1,bathroom
2740,3,0,2,
2740,4,0,1,bathroom
2740,4,0,2,
2740,5,0,1,bathroom
2740,5,0,2,
3305,0,0,1,child's room
3305,0,0,2,
3305,0,1,1,child's room
3305,0,1,2,
3305,0,2,1,child's room
3305,0,2,2,
3305,0,3,1,child's room
3305,0,3,2,
3305,0,4,1,child's room
3305,0,4,2,
3305,1,0,1,child's room
3305,1,0,2,
3305,1,1,1,child's room
3305,1,1,2,
3305,1,2,1,child's room
3305,1,2,2,
3305,1,3,1,child's room
3305,1,3,2,
3305,1,4,1,child's room
3305,1,4,2,
3305,2,0,1,child's room
3305,2,0,2,
3305,2,1,1,child's room
3305,2,1,2,
3305,2,2,1,child's room
3305,2,2,2,
3305,2,3,1,child's room
3305,2,3,2,
3305,2,4,1,child's room
3305,2,4,2,
3305,3,0,1,child's room
3305,3,0,2,
3305,3,1,1,child's room
3305,3,1,2,
3305,3,2,1,child's room
3305,3,2,2,
3305,3,3,1,child's room
3305,3,3,2,
3305,3,4,1,child's room
3305,3,4,2,
3305,4,0,1,child's room
3305,4,0,2,
3305,4,1,1,child's room
3305,4,1,2,
3305,4,2,1,child's room
3305,4,2,2,
3305,4,3,1,child's room
3305,4,3,2,
3305,4,4,1,child's room
3305,4,4,2,
3305,5,0,1,child's room
3305,5,0,2,
3305,5,1,1,child's room
3305,5,1,2,
3305,5,2,1,child's room
3305,5,2,2,
3305,5,3,1,child's room
3305,5,3,2,
3305,5,4,1,child's room
3305,5,4,2,
3305,6,0,1,child's room
3305,6,0,2,
3305,6,1,1,child's room
3305,6,1,2,
3305,6,2,1,child's room
3305,6,2,2,
3305,6,3,1,child's room
3305,6,3,2,
3305,6,4,1,child's room
3305,6,4,2,
3658,0,0,1,zen-style
3658,0,0,2,
3658,1,0,1,zen-style
3658,1,0,2,
3658,2,0,1,zen-style
3658,2,0,2,
710,0,0,1,zen-style
710,0,0,2,
710,1,0,1,zen-style
710,1,0,2,
710,2,0,1,zen-style
710,2,0,2,
3555,0,0,1,zen-style
3555,0,0,2,
3557,0,0,1,zen-style
3557,0,0,2,
3557,1,0,1,zen-style
3557,1,0,2,
3557,2,0,1,zen-style
3557,2,0,2,
5979,0,0,1,zen-style
5979,0,0,2,
3553,0,0,1,zen-style
3553,0,0,2,
3553,1,0,1,zen-style
3553,1,0,2,
3553,2,0,1,zen-style
3553,2,0,2,
3551,0,0,1,zen-style
3551,0,0,2,
3551,1,0,1,zen-style
3551,1,0,2,
3551,2,0,1,zen-style
3551,2,0,2,
10743,0,0,1,zen-style
10743,0,0,2,
10743,1,0,1,zen-style
10743,1,0,2,
10743,2,0,1,zen-style
10743,2,0,2,
10742,0,0,1,zen-style
10742,0,0,2,
10742,1,0,1,zen-style
10742,1,0,2,
10742,2,0,1,zen-style
10742,2,0,2,
3556,0,0,1,zen-style
3556,0,0,2,
3556,1,0,1,zen-style
3556,1,0,2,
3556,2,0,1,zen-style
3556,2,0,2,
330,0,0,1,outdoors
330,0,0,2,
330,1,0,1,outdoors
330,1,0,2,
330,2,0,1,outdoors
330,2,0,2,
330,3,0,1,outdoors
330,3,0,2,
330,4,0,1,outdoors
330,4,0,2,
4078,0,0,1,fitness
4078,0,0,2,
4078,1,0,1,fitness
4078,1,0,2,
4078,2,0,1,fitness
4078,2,0,2,
4078,3,0,1,fitness
4078,3,0,2,
1266,0,0,1,garage
1266,0,0,2,
1330,0,0,1,school
1330,0,0,2,
1330,1,0,1,school
1330,1,0,2,
1330,2,0,1,school
1330,2,0,2,
4226,0,0,1,fitness
4226,0,0,2,school
4226,1,0,1,fitness
4226,1,0,2,school
4226,2,0,1,fitness
4226,2,0,2,school
1229,0,0,1,bathroom
1229,0,0,2,
1229,1,0,1,bathroom
1229,1,0,2,
1229,2,0,1,bathroom
1229,2,0,2,
664,0,0,1,ocean
664,0,0,2,
664,1,0,1,ocean
664,1,0,2,
664,2,0,1,ocean
664,2,0,2,
664,3,0,1,ocean
664,3,0,2,
664,4,0,1,ocean
664,4,0,2,
664,5,0,1,ocean
664,5,0,2,
3468,0,0,1,ocean
3468,0,0,2,
3468,0,1,1,ocean
3468,0,1,2,
3468,0,2,1,ocean
3468,0,2,2,
3468,0,3,1,ocean
3468,0,3,2,
3468,0,4,1,ocean
3468,0,4,2,
3468,0,5,1,ocean
3468,0,5,2,
3468,0,6,1,ocean
3468,0,6,2,
3406,0,0,1,garden
3406,0,0,2,
3406,1,0,1,garden
3406,1,0,2,
3406,2,0,1,garden
3406,2,0,2,
3406,3,0,1,garden
3406,3,0,2,
3406,4,0,1,garden
3406,4,0,2,
4098,0,0,1,bathroom
4098,0,0,2,
3966,0,0,1,party
3966,0,0,2,fancy
3966,1,0,1,party
3966,1,0,2,fancy
3966,2,0,1,party
3966,2,0,2,fancy
3966,3,0,1,party
3966,3,0,2,fancy
3966,4,0,1,party
3966,4,0,2,fancy
3966,5,0,1,party
3966,5,0,2,fancy
863,0,0,1,shop
863,0,0,2,facility
863,1,0,1,shop
863,1,0,2,facility
863,2,0,1,shop
863,2,0,2,facility
331,0,0,1,garden
331,0,0,2,
331,1,0,1,garden
331,1,0,2,
331,2,0,1,garden
331,2,0,2,
331,3,0,1,garden
331,3,0,2,
865,0,0,1,living room
865,0,0,2,
865,1,0,1,living room
865,1,0,2,
865,2,0,1,living room
865,2,0,2,
865,3,0,1,living room
865,3,0,2,
865,4,0,1,living room
865,4,0,2,
333,0,0,1,garden
333,0,0,2,
333,1,0,1,garden
333,1,0,2,
333,2,0,1,garden
333,2,0,2,
333,3,0,1,garden
333,3,0,2,
333,4,0,1,garden
333,4,0,2,
333,5,0,1,garden
333,5,0,2,
3594,0,0,1,party
3594,0,0,2,fancy
3594,1,0,1,party
3594,1,0,2,fancy
3594,2,0,1,party
3594,2,0,2,fancy
3594,3,0,1,party
3594,3,0,2,fancy
3594,4,0,1,party
3594,4,0,2,fancy
3594,5,0,1,party
3594,5,0,2,fancy
3593,0,0,1,party
3593,0,0,2,fancy
3593,1,0,1,party
3593,1,0,2,fancy
3593,2,0,1,party
3593,2,0,2,fancy
3593,3,0,1,party
3593,3,0,2,fancy
3593,4,0,1,party
3593,4,0,2,fancy
3593,5,0,1,party
3593,5,0,2,fancy
6831,0,0,1,zen-style
6831,0,0,2,
6831,1,0,1,zen-style
6831,1,0,2,
7150,0,0,1,fitness
7150,0,0,2,
7150,0,1,1,fitness
7150,0,1,2,
7150,0,2,1,fitness
7150,0,2,2,
7150,0,3,1,fitness
7150,0,3,2,
7150,0,4,1,fitness
7150,0,4,2,
1430,0,0,1,outdoors
1430,0,0,2,
3580,0,0,1,zen-style
3580,0,0,2,garden
1853,0,0,1,shop
1853,0,0,2,facility
1853,1,0,1,shop
1853,1,0,2,facility
1853,2,0,1,shop
1853,2,0,2,facility
1853,3,0,1,shop
1853,3,0,2,facility
1853,4,0,1,shop
1853,4,0,2,facility
1853,5,0,1,shop
1853,5,0,2,facility
1853,6,0,1,shop
1853,6,0,2,facility
1853,7,0,1,shop
1853,7,0,2,facility
1852,0,0,1,shop
1852,0,0,2,facility
1852,1,0,1,shop
1852,1,0,2,facility
1852,2,0,1,shop
1852,2,0,2,facility
1852,3,0,1,shop
1852,3,0,2,facility
1852,4,0,1,shop
1852,4,0,2,facility
1852,5,0,1,shop
1852,5,0,2,facility
1852,6,0,1,shop
1852,6,0,2,facility
1852,7,0,1,shop
1852,7,0,2,facility
12370,0,0,1,facility
12370,0,0,2,party
1157,0,0,1,kitchen
1157,0,0,2,shop
1157,1,0,1,kitchen
1157,1,0,2,shop
1157,2,0,1,kitchen
1157,2,0,2,shop
1157,3,0,1,kitchen
1157,3,0,2,shop
3776,0,0,1,garden
3776,0,0,2,
3776,1,0,1,garden
3776,1,0,2,
3776,2,0,1,garden
3776,2,0,2,
8298,0,0,1,facility
8298,0,0,2,
8298,0,1,1,facility
8298,0,1,2,
8298,0,2,1,facility
8298,0,2,2,
8298,0,3,1,facility
8298,0,3,2,
8298,0,4,1,facility
8298,0,4,2,
8298,1,0,1,facility
8298,1,0,2,
8298,1,1,1,facility
8298,1,1,2,
8298,1,2,1,facility
8298,1,2,2,
8298,1,3,1,facility
8298,1,3,2,
8298,1,4,1,facility
8298,1,4,2,
8298,2,0,1,facility
8298,2,0,2,
8298,2,1,1,facility
8298,2,1,2,
8298,2,2,1,facility
8298,2,2,2,
8298,2,3,1,facility
8298,2,3,2,
8298,2,4,1,facility
8298,2,4,2,
8298,3,0,1,facility
8298,3,0,2,
8298,3,1,1,facility
8298,3,1,2,
8298,3,2,1,facility
8298,3,2,2,
8298,3,3,1,facility
8298,3,3,2,
8298,3,4,1,facility
8298,3,4,2,
8298,4,0,1,facility
8298,4,0,2,
8298,4,1,1,facility
8298,4,1,2,
8298,4,2,1,facility
8298,4,2,2,
8298,4,3,1,facility
8298,4,3,2,
8298,4,4,1,facility
8298,4,4,2,
8298,5,0,1,facility
8298,5,0,2,
8298,5,1,1,facility
8298,5,1,2,
8298,5,2,1,facility
8298,5,2,2,
8298,5,3,1,facility
8298,5,3,2,
8298,5,4,1,facility
8298,5,4,2,
8298,6,0,1,facility
8298,6,0,2,
8298,6,1,1,facility
8298,6,1,2,
8298,6,2,1,facility
8298,6,2,2,
8298,6,3,1,facility
8298,6,3,2,
8298,6,4,1,facility
8298,6,4,2,
12398,0,0,1,fancy
12398,0,0,2,party
12414,0,0,1,fancy
12414,0,0,2,
12421,0,0,1,fancy
12421,0,0,2,party
12419,0,0,1,fancy
12419,0,0,2,party
12415,0,0,1,fancy
12415,0,0,2,
12436,0,0,1,fancy
12436,0,0,2,
12420,0,0,1,fancy
12420,0,0,2,
12437,0,0,1,fancy
12437,0,0,2,
7805,0,0,1,facility
7805,0,0,2,garden
7805,1,0,1,facility
7805,1,0,2,garden
1277,0,0,1,living room
1277,0,0,2,
1429,0,0,1,outdoors
1429,0,0,2,
1433,0,0,1,outdoors
1433,0,0,2,
4081,0,0,1,outdoors
4081,0,0,2,
4081,1,0,1,outdoors
4081,1,0,2,
4081,2,0,1,outdoors
4081,2,0,2,
4081,3,0,1,outdoors
4081,3,0,2,
4081,4,0,1,outdoors
4081,4,0,2,
4081,5,0,1,outdoors
4081,5,0,2,
4081,6,0,1,outdoors
4081,6,0,2,
4081,7,0,1,outdoors
4081,7,0,2,
12374,0,0,1,facility
12374,0,0,2,garden
5959,0,0,1,expensive
5959,0,0,2,
7392,0,0,1,shop
7392,0,0,2,facility
7392,1,0,1,shop
7392,1,0,2,facility
7392,2,0,1,shop
7392,2,0,2,facility
7392,3,0,1,shop
7392,3,0,2,facility
5957,0,0,1,expensive
5957,0,0,2,
7161,0,0,1,garage
7161,0,0,2,
7161,1,0,1,garage
7161,1,0,2,
7163,0,0,1,garage
7163,0,0,2,
7163,1,0,1,garage
7163,1,0,2,
7159,0,0,1,garage
7159,0,0,2,
7159,1,0,1,garage
7159,1,0,2,
7160,0,0,1,garage
7160,0,0,2,
7160,1,0,1,garage
7160,1,0,2,
896,0,0,1,living room
896,0,0,2,
896,1,0,1,living room
896,1,0,2,
896,2,0,1,living room
896,2,0,2,
896,3,0,1,living room
896,3,0,2,
896,4,0,1,living room
896,4,0,2,
896,5,0,1,living room
896,5,0,2,
1449,0,0,1,music
1449,0,0,2,expensive
1449,1,0,1,music
1449,1,0,2,expensive
1449,2,0,1,music
1449,2,0,2,expensive
2012,0,0,1,school
2012,0,0,2,
2012,1,0,1,school
2012,1,0,2,
2012,2,0,1,school
2012,2,0,2,
2012,3,0,1,school
2012,3,0,2,
2012,4,0,1,school
2012,4,0,2,
2012,5,0,1,school
2012,5,0,2,
2012,6,0,1,school
2012,6,0,2,
7264,0,0,1,school
7264,0,0,2,
7264,1,0,1,school
7264,1,0,2,
7264,2,0,1,school
7264,2,0,2,
7264,3,0,1,school
7264,3,0,2,
1816,0,0,1,shop
1816,0,0,2,facility
1816,0,1,1,shop
1816,0,1,2,facility
1816,0,2,1,shop
1816,0,2,2,facility
1816,0,3,1,shop
1816,0,3,2,facility
1816,0,4,1,shop
1816,0,4,2,facility
1816,0,5,1,shop
1816,0,5,2,facility
1816,0,6,1,shop
1816,0,6,2,facility
1816,0,7,1,shop
1816,0,7,2,facility
1816,1,0,1,shop
1816,1,0,2,facility
1816,1,1,1,shop
1816,1,1,2,facility
1816,1,2,1,shop
1816,1,2,2,facility
1816,1,3,1,shop
1816,1,3,2,facility
1816,1,4,1,shop
1816,1,4,2,facility
1816,1,5,1,shop
1816,1,5,2,facility
1816,1,6,1,shop
1816,1,6,2,facility
1816,1,7,1,shop
1816,1,7,2,facility
1816,2,0,1,shop
1816,2,0,2,facility
1816,2,1,1,shop
1816,2,1,2,facility
1816,2,2,1,shop
1816,2,2,2,facility
1816,2,3,1,shop
1816,2,3,2,facility
1816,2,4,1,shop
1816,2,4,2,facility
1816,2,5,1,shop
1816,2,5,2,facility
1816,2,6,1,shop
1816,2,6,2,facility
1816,2,7,1,shop
1816,2,7,2,facility
1816,3,0,1,shop
1816,3,0,2,facility
1816,3,1,1,shop
1816,3,1,2,facility
1816,3,2,1,shop
1816,3,2,2,facility
1816,3,3,1,shop
1816,3,3,2,facility
1816,3,4,1,shop
1816,3,4,2,facility
1816,3,5,1,shop
1816,3,5,2,facility
1816,3,6,1,shop
1816,3,6,2,facility
1816,3,7,1,shop
1816,3,7,2,facility
1816,4,0,1,shop
1816,4,0,2,facility
1816,4,1,1,shop
1816,4,1,2,facility
1816,4,2,1,shop
1816,4,2,2,facility
1816,4,3,1,shop
1816,4,3,2,facility
1816,4,4,1,shop
1816,4,4,2,facility
1816,4,5,1,shop
1816,4,5,2,facility
1816,4,6,1,shop
1816,4,6,2,facility
1816,4,7,1,shop
1816,4,7,2,facility
1816,5,0,1,shop
1816,5,0,2,facility
1816,5,1,1,shop
1816,5,1,2,facility
1816,5,2,1,shop
1816,5,2,2,facility
1816,5,3,1,shop
1816,5,3,2,facility
1816,5,4,1,shop
1816,5,4,2,facility
1816,5,5,1,shop
1816,5,5,2,facility
1816,5,6,1,shop
1816,5,6,2,facility
1816,5,7,1,shop
1816,5,7,2,facility
1816,6,0,1,shop
1816,6,0,2,facility
1816,6,1,1,shop
1816,6,1,2,facility
1816,6,2,1,shop
1816,6,2,2,facility
1816,6,3,1,shop
1816,6,3,2,facility
1816,6,4,1,shop
1816,6,4,2,facility
1816,6,5,1,shop
1816,6,5,2,facility
1816,6,6,1,shop
1816,6,6,2,facility
1816,6,7,1,shop
1816,6,7,2,facility
1816,7,0,1,shop
1816,7,0,2,facility
1816,7,1,1,shop
1816,7,1,2,facility
1816,7,2,1,shop
1816,7,2,2,facility
1816,7,3,1,shop
1816,7,3,2,facility
1816,7,4,1,shop
1816,7,4,2,facility
1816,7,5,1,shop
1816,7,5,2,facility
1816,7,6,1,shop
1816,7,6,2,facility
1816,7,7,1,shop
1816,7,7,2,facility
6031,0,0,1,zen-style
6031,0,0,2,fancy
7409,0,0,1,zen-style
7409,0,0,2,garden
6032,0,0,1,zen-style
6032,0,0,2,fancy
80,0,0,1,child's room
80,0,0,2,
80,1,0,1,child's room
80,1,0,2,
80,2,0,1,child's room
80,2,0,2,
80,3,0,1,child's room
80,3,0,2,
80,4,0,1,child's room
80,4,0,2,
80,5,0,1,child's room
80,5,0,2,
1757,0,0,1,bathroom
1757,0,0,2,expensive
1757,1,0,1,bathroom
1757,1,0,2,expensive
1757,2,0,1,bathroom
1757,2,0,2,expensive
1757,3,0,1,bathroom
1757,3,0,2,expensive
1757,4,0,1,bathroom
1757,4,0,2,expensive
1757,5,0,1,bathroom
1757,5,0,2,expensive
717,0,0,1,kitchen
717,0,0,2,zen-style
4006,0,0,1,fitness
4006,0,0,2,
4006,1,0,1,fitness
4006,1,0,2,
4006,2,0,1,fitness
4006,2,0,2,
4006,3,0,1,fitness
4006,3,0,2,
9502,0,0,1,living room
9502,0,0,2,
9502,1,0,1,living room
9502,1,0,2,
9502,2,0,1,living room
9502,2,0,2,
9502,3,0,1,living room
9502,3,0,2,
9502,4,0,1,living room
9502,4,0,2,
9502,5,0,1,living room
9502,5,0,2,
3229,0,0,1,garden
3229,0,0,2,
3229,0,1,1,garden
3229,0,1,2,
3229,0,2,1,garden
3229,0,2,2,
3229,0,3,1,garden
3229,0,3,2,
3229,0,4,1,garden
3229,0,4,2,
1778,0,0,1,garden
1778,0,0,2,bathroom
1778,0,1,1,garden
1778,0,1,2,bathroom
1778,0,2,1,garden
1778,0,2,2,bathroom
1778,0,3,1,garden
1778,0,3,2,bathroom
1778,1,0,1,garden
1778,1,0,2,bathroom
1778,1,1,1,garden
1778,1,1,2,bathroom
1778,1,2,1,garden
1778,1,2,2,bathroom
1778,1,3,1,garden
1778,1,3,2,bathroom
1112,0,0,1,party
1112,0,0,2,
1112,1,0,1,party
1112,1,0,2,
1112,2,0,1,party
1112,2,0,2,
1112,3,0,1,party
1112,3,0,2,
1112,4,0,1,party
1112,4,0,2,
146,0,0,1,facility
146,0,0,2,garage
146,1,0,1,facility
146,1,0,2,garage
146,2,0,1,facility
146,2,0,2,garage
146,3,0,1,facility
146,3,0,2,garage
146,4,0,1,facility
146,4,0,2,garage
146,5,0,1,facility
146,5,0,2,garage
146,6,0,1,facility
146,6,0,2,garage
146,7,0,1,facility
146,7,0,2,garage
9568,0,0,1,garage
9568,0,0,2,facility
9568,1,0,1,garage
9568,1,0,2,facility
9568,2,0,1,garage
9568,2,0,2,facility
9568,3,0,1,garage
9568,3,0,2,facility
9568,4,0,1,garage
9568,4,0,2,facility
7230,0,0,1,bathroom
7230,0,0,2,fancy
7230,1,0,1,bathroom
7230,1,0,2,fancy
7230,2,0,1,bathroom
7230,2,0,2,fancy
4412,0,0,1,fancy
4412,0,0,2,party
4412,1,0,1,fancy
4412,1,0,2,party
4412,2,0,1,fancy
4412,2,0,2,party
6829,0,0,1,space
6829,0,0,2,fancy
6829,1,0,1,space
6829,1,0,2,fancy
6829,2,0,1,space
6829,2,0,2,fancy
6829,3,0,1,space
6829,3,0,2,fancy
6829,4,0,1,space
6829,4,0,2,fancy
6829,5,0,1,space
6829,5,0,2,fancy
6829,6,0,1,space
6829,6,0,2,fancy
5676,0,0,1,space
5676,0,0,2,
3624,0,0,1,fancy
3624,0,0,2,
3624,1,0,1,fancy
3624,1,0,2,
3624,2,0,1,fancy
3624,2,0,2,
3624,3,0,1,fancy
3624,3,0,2,
3624,4,0,1,fancy
3624,4,0,2,
3999,0,0,1,fancy
3999,0,0,2,
3999,1,0,1,fancy
3999,1,0,2,
3999,2,0,1,fancy
3999,2,0,2,
3999,3,0,1,fancy
3999,3,0,2,
3999,4,0,1,fancy
3999,4,0,2,
3995,0,0,1,fancy
3995,0,0,2,
3995,1,0,1,fancy
3995,1,0,2,
3995,2,0,1,fancy
3995,2,0,2,
3995,3,0,1,fancy
3995,3,0,2,
3995,4,0,1,fancy
3995,4,0,2,
4002,0,0,1,fancy
4002,0,0,2,
4002,1,0,1,fancy
4002,1,0,2,
4002,2,0,1,fancy
4002,2,0,2,
4002,3,0,1,fancy
4002,3,0,2,
4002,4,0,1,fancy
4002,4,0,2,
3998,0,0,1,fancy
3998,0,0,2,
3998,1,0,1,fancy
3998,1,0,2,
3998,2,0,1,fancy
3998,2,0,2,
3998,3,0,1,fancy
3998,3,0,2,
3998,4,0,1,fancy
3998,4,0,2,
4000,0,0,1,fancy
4000,0,0,2,
4000,1,0,1,fancy
4000,1,0,2,
4000,2,0,1,fancy
4000,2,0,2,
4000,3,0,1,fancy
4000,3,0,2,
4000,4,0,1,fancy
4000,4,0,2,
4001,0,0,1,fancy
4001,0,0,2,
4001,1,0,1,fancy
4001,1,0,2,
4001,2,0,1,fancy
4001,2,0,2,
4001,3,0,1,fancy
4001,3,0,2,
4001,4,0,1,fancy
4001,4,0,2,
3997,0,0,1,fancy
3997,0,0,2,
3997,1,0,1,fancy
3997,1,0,2,
3997,2,0,1,fancy
3997,2,0,2,
3997,3,0,1,fancy
3997,3,0,2,
3997,4,0,1,fancy
3997,4,0,2,
7153,0,0,1,bathroom
7153,0,0,2,
7153,1,0,1,bathroom
7153,1,0,2,
7153,2,0,1,bathroom
7153,2,0,2,
1829,0,0,1,living room
1829,0,0,2,
1829,1,0,1,living room
1829,1,0,2,
1829,2,0,1,living room
1829,2,0,2,
1829,3,0,1,living room
1829,3,0,2,
1829,4,0,1,living room
1829,4,0,2,
937,0,0,1,shop
937,0,0,2,facility
677,0,0,1,zen-style
677,0,0,2,garden
677,1,0,1,zen-style
677,1,0,2,garden
677,2,0,1,zen-style
677,2,0,2,garden
1227,0,0,1,bathroom
1227,0,0,2,
1227,1,0,1,bathroom
1227,1,0,2,
1227,2,0,1,bathroom
1227,2,0,2,
1227,3,0,1,bathroom
1227,3,0,2,
1227,4,0,1,bathroom
1227,4,0,2,
1227,5,0,1,bathroom
1227,5,0,2,
3784,0,0,1,den
3784,0,0,2,
3784,1,0,1,den
3784,1,0,2,
3784,2,0,1,den
3784,2,0,2,
3784,3,0,1,den
3784,3,0,2,
3784,4,0,1,den
3784,4,0,2,
3784,5,0,1,den
3784,5,0,2,
3783,0,0,1,den
3783,0,0,2,
3783,1,0,1,den
3783,1,0,2,
3783,2,0,1,den
3783,2,0,2,
3783,3,0,1,den
3783,3,0,2,
3783,4,0,1,den
3783,4,0,2,
4309,0,0,1,garden
4309,0,0,2,
4309,1,0,1,garden
4309,1,0,2,
4309,2,0,1,garden
4309,2,0,2,
4309,3,0,1,garden
4309,3,0,2,
4309,4,0,1,garden
4309,4,0,2,
4309,5,0,1,garden
4309,5,0,2,
3307,0,0,1,bathroom
3307,0,0,2,
3307,0,1,1,bathroom
3307,0,1,2,
3307,0,2,1,bathroom
3307,0,2,2,
3307,0,3,1,bathroom
3307,0,3,2,
3307,0,4,1,bathroom
3307,0,4,2,
3307,1,0,1,bathroom
3307,1,0,2,
3307,1,1,1,bathroom
3307,1,1,2,
3307,1,2,1,bathroom
3307,1,2,2,
3307,1,3,1,bathroom
3307,1,3,2,
3307,1,4,1,bathroom
3307,1,4,2,
3307,2,0,1,bathroom
3307,2,0,2,
3307,2,1,1,bathroom
3307,2,1,2,
3307,2,2,1,bathroom
3307,2,2,2,
3307,2,3,1,bathroom
3307,2,3,2,
3307,2,4,1,bathroom
3307,2,4,2,
3307,3,0,1,bathroom
3307,3,0,2,
3307,3,1,1,bathroom
3307,3,1,2,
3307,3,2,1,bathroom
3307,3,2,2,
3307,3,3,1,bathroom
3307,3,3,2,
3307,3,4,1,bathroom
3307,3,4,2,
3307,4,0,1,bathroom
3307,4,0,2,
3307,4,1,1,bathroom
3307,4,1,2,
3307,4,2,1,bathroom
3307,4,2,2,
3307,4,3,1,bathroom
3307,4,3,2,
3307,4,4,1,bathroom
3307,4,4,2,
3307,5,0,1,bathroom
3307,5,0,2,
3307,5,1,1,bathroom
3307,5,1,2,
3307,5,2,1,bathroom
3307,5,2,2,
3307,5,3,1,bathroom
3307,5,3,2,
3307,5,4,1,bathroom
3307,5,4,2,
3307,6,0,1,bathroom
3307,6,0,2,
3307,6,1,1,bathroom
3307,6,1,2,
3307,6,2,1,bathroom
3307,6,2,2,
3307,6,3,1,bathroom
3307,6,3,2,
3307,6,4,1,bathroom
3307,6,4,2,
4137,0,0,1,shop
4137,0,0,2,
4137,1,0,1,shop
4137,1,0,2,
4137,2,0,1,shop
4137,2,0,2,
4137,3,0,1,shop
4137,3,0,2,
4137,4,0,1,shop
4137,4,0,2,
4137,5,0,1,shop
4137,5,0,2,
4137,6,0,1,shop
4137,6,0,2,
4138,0,0,1,shop
4138,0,0,2,
4138,1,0,1,shop
4138,1,0,2,
4138,2,0,1,shop
4138,2,0,2,
4138,3,0,1,shop
4138,3,0,2,
4138,4,0,1,shop
4138,4,0,2,
4138,5,0,1,shop
4138,5,0,2,
4138,6,0,1,shop
4138,6,0,2,
4139,0,0,1,shop
4139,0,0,2,
4139,1,0,1,shop
4139,1,0,2,
4139,2,0,1,shop
4139,2,0,2,
4139,3,0,1,shop
4139,3,0,2,
4139,4,0,1,shop
4139,4,0,2,
4139,5,0,1,shop
4139,5,0,2,
4139,6,0,1,shop
4139,6,0,2,
4142,0,0,1,shop
4142,0,0,2,
4142,1,0,1,shop
4142,1,0,2,
4142,2,0,1,shop
4142,2,0,2,
4142,3,0,1,shop
