items_internal_id,items_variant_1,items_variant_2,numerics_numerics_id,numerics_value
3959,2,0,5,1.0
3959,2,0,6,
4134,0,0,1,
4134,0,0,2,2480
4134,0,0,3,
4134,0,0,4,1.0
4134,0,0,5,1.0
4134,0,0,6,4.0
4134,1,0,1,
4134,1,0,2,2480
4134,1,0,3,
4134,1,0,4,1.0
4134,1,0,5,1.0
4134,1,0,6,4.0
5956,0,0,1,
5956,0,0,2,22125
5956,0,0,3,
5956,0,0,4,1.0
5956,0,0,5,1.0
5956,0,0,6,
8226,0,0,1,64000.0
8226,0,0,2,16000
8226,0,0,3,
8226,0,0,4,1.0
8226,0,0,5,1.0
8226,0,0,6,
8225,0,0,1,64000.0
8225,0,0,2,16000
8225,0,0,3,
8225,0,0,4,1.0
8225,0,0,5,1.0
8225,0,0,6,
8227,0,0,1,64000.0
8227,0,0,2,16000
8227,0,0,3,
8227,0,0,4,1.0
8227,0,0,5,1.0
8227,0,0,6,
12207,0,0,1,1300.0
12207,0,0,2,325
12207,0,0,3,
12207,0,0,4,1.0
12207,0,0,5,1.0
12207,0,0,6,
12207,1,0,1,1300.0
12207,1,0,2,325
12207,1,0,3,
12207,1,0,4,1.0
12207,1,0,5,1.0
12207,1,0,6,
12207,2,0,1,1300.0
12207,2,0,2,325
12207,2,0,3,
12207,2,0,4,1.0
12207,2,0,5,1.0
12207,2,0,6,
5954,0,0,1,
5954,0,0,2,12125
5954,0,0,3,
5954,0,0,4,1.0
5954,0,0,5,1.0
5954,0,0,6,
7839,0,0,1,
7839,0,0,2,450
7839,0,0,3,
7839,0,0,4,2.0
7839,0,0,5,1.0
7839,0,0,6,
1439,0,0,1,
1439,0,0,2,4000
1439,0,0,3,
1439,0,0,4,1.0
1439,0,0,5,1.0
1439,0,0,6,
1445,0,0,1,
1445,0,0,2,6250
1445,0,0,3,
1445,0,0,4,1.0
1445,0,0,5,1.0
1445,0,0,6,
2740,0,0,1,4500.0
2740,0,0,2,1125
2740,0,0,3,
2740,0,0,4,1.0
2740,0,0,5,1.0
2740,0,0,6,
2740,1,0,1,4500.0
2740,1,0,2,1125
2740,1,0,3,
2740,1,0,4,1.0
2740,1,0,5,1.0
2740,1,0,6,
2740,2,0,1,4500.0
2740,2,0,2,1125
2740,2,0,3,
2740,2,0,4,1.0
2740,2,0,5,1.0
2740,2,0,6,
2740,3,0,1,4500.0
2740,3,0,2,1125
2740,3,0,3,
2740,3,0,4,1.0
2740,3,0,5,1.0
2740,3,0,6,
2740,4,0,1,4500.0
2740,4,0,2,1125
2740,4,0,3,
2740,4,0,4,1.0
2740,4,0,5,1.0
2740,4,0,6,
2740,5,0,1,4500.0
2740,5,0,2,1125
2740,5,0,3,
2740,5,0,4,1.0
2740,5,0,5,1.0
2740,5,0,6,
3305,0,0,1,1200.0
3305,0,0,2,300
3305,0,0,3,
3305,0,0,4,1.0
3305,0,0,5,1.0
3305,0,0,6,1.0
3305,0,1,1,1200.0
3305,0,1,2,300
3305,0,1,3,
3305,0,1,4,1.0
3305,0,1,5,1.0
3305,0,1,6,1.0
3305,0,2,1,1200.0
3305,0,2,2,300
3305,0,2,3,
3305,0,2,4,1.0
3305,0,2,5,1.0
3305,0,2,6,1.0
3305,0,3,1,1200.0
3305,0,3,2,300
3305,0,3,3,
3305,0,3,4,1.0
3305,0,3,5,1.0
3305,0,3,6,1.0
3305,0,4,1,1200.0
3305,0,4,2,300
3305,0,4,3,
3305,0,4,4,1.0
3305,0,4,5,1.0
3305,0,4,6,1.0
3305,1,0,1,1200.0
3305,1,0,2,300
3305,1,0,3,
3305,1,0,4,1.0
3305,1,0,5,1.0
3305,1,0,6,1.0
3305,1,1,1,1200.0
3305,1,1,2,300
3305,1,1,3,
3305,1,1,4,1.0
3305,1,1,5,1.0
3305,1,1,6,1.0
3305,1,2,1,1200.0
3305,1,2,2,300
3305,1,2,3,
3305,1,2,4,1.0
3305,1,2,5,1.0
3305,1,2,6,1.0
3305,1,3,1,1200.0
3305,1,3,2,300
3305,1,3,3,
3305,1,3,4,1.0
3305,1,3,5,1.0
3305,1,3,6,1.0
3305,1,4,1,1200.0
3305,1,4,2,300
3305,1,4,3,
3305,1,4,4,1.0
3305,1,4,5,1.0
3305,1,4,6,1.0
3305,2,0,1,1200.0
3305,2,0,2,300
3305,2,0,3,
3305,2,0,4,1.0
3305,2,0,5,1.0
3305,2,0,6,1.0
3305,2,1,1,1200.0
3305,2,1,2,300
3305,2,1,3,
3305,2,1,4,1.0
3305,2,1,5,1.0
3305,2,1,6,1.0
3305,2,2,1,1200.0
3305,2,2,2,300
3305,2,2,3,
3305,2,2,4,1.0
3305,2,2,5,1.0
3305,2,2,6,1.0
3305,2,3,1,1200.0
3305,2,3,2,300
3305,2,3,3,
3305,2,3,4,1.0
3305,2,3,5,1.0
3305,2,3,6,1.0
3305,2,4,1,1200.0
3305,2,4,2,300
3305,2,4,3,
3305,2,4,4,1.0
3305,2,4,5,1.0
3305,2,4,6,1.0
3305,3,0,1,1200.0
3305,3,0,2,300
3305,3,0,3,
3305,3,0,4,1.0
3305,3,0,5,1.0
3305,3,0,6,1.0
3305,3,1,1,1200.0
3305,3,1,2,300
3305,3,1,3,
3305,3,1,4,1.0
3305,3,1,5,1.0
3305,3,1,6,1.0
3305,3,2,1,1200.0
3305,3,2,2,300
3305,3,2,3,
3305,3,2,4,1.0
3305,3,2,5,1.0
3305,3,2,6,1.0
3305,3,3,1,1200.0
3305,3,3,2,300
3305,3,3,3,
3305,3,3,4,1.0
3305,3,3,5,1.0
3305,3,3,6,1.0
3305,3,4,1,1200.0
3305,3,4,2,300
3305,3,4,3,
3305,3,4,4,1.0
3305,3,4,5,1.0
3305,3,4,6,1.0
3305,4,0,1,1200.0
3305,4,0,2,300
3305,4,0,3,
3305,4,0,4,1.0
3305,4,0,5,1.0
3305,4,0,6,1.0
3305,4,1,1,1200.0
3305,4,1,2,300
3305,4,1,3,
3305,4,1,4,1.0
3305,4,1,5,1.0
3305,4,1,6,1.0
3305,4,2,1,1200.0
3305,4,2,2,300
3305,4,2,3,
3305,4,2,4,1.0
3305,4,2,5,1.0
3305,4,2,6,1.0
3305,4,3,1,1200.0
3305,4,3,2,300
3305,4,3,3,
3305,4,3,4,1.0
3305,4,3,5,1.0
3305,4,3,6,1.0
3305,4,4,1,1200.0
3305,4,4,2,300
3305,4,4,3,
3305,4,4,4,1.0
3305,4,4,5,1.0
3305,4,4,6,1.0
3305,5,0,1,1200.0
3305,5,0,2,300
3305,5,0,3,
3305,5,0,4,1.0
3305,5,0,5,1.0
3305,5,0,6,1.0
3305,5,1,1,1200.0
3305,5,1,2,300
3305,5,1,3,
3305,5,1,4,1.0
3305,5,1,5,1.0
3305,5,1,6,1.0
3305,5,2,1,1200.0
3305,5,2,2,300
3305,5,2,3,
3305,5,2,4,1.0
3305,5,2,5,1.0
3305,5,2,6,1.0
3305,5,3,1,1200.0
3305,5,3,2,300
3305,5,3,3,
3305,5,3,4,1.0
3305,5,3,5,1.0
3305,5,3,6,1.0
3305,5,4,1,1200.0
3305,5,4,2,300
3305,5,4,3,
3305,5,4,4,1.0
3305,5,4,5,1.0
3305,5,4,6,1.0
3305,6,0,1,1200.0
3305,6,0,2,300
3305,6,0,3,
3305,6,0,4,1.0
3305,6,0,5,1.0
3305,6,0,6,1.0
3305,6,1,1,1200.0
3305,6,1,2,300
3305,6,1,3,
3305,6,1,4,1.0
3305,6,1,5,1.0
3305,6,1,6,1.0
3305,6,2,1,1200.0
3305,6,2,2,300
3305,6,2,3,
3305,6,2,4,1.0
3305,6,2,5,1.0
3305,6,2,6,1.0
3305,6,3,1,1200.0
3305,6,3,2,300
3305,6,3,3,
3305,6,3,4,1.0
3305,6,3,5,1.0
3305,6,3,6,1.0
3305,6,4,1,1200.0
3305,6,4,2,300
3305,6,4,3,
3305,6,4,4,1.0
3305,6,4,5,1.0
3305,6,4,6,1.0
3658,0,0,1,
3658,0,0,2,1120
3658,0,0,3,
3658,0,0,4,1.0
3658,0,0,5,1.0
3658,0,0,6,2.0
3658,1,0,1,
3658,1,0,2,1120
3658,1,0,3,
3658,1,0,4,1.0
3658,1,0,5,1.0
3658,1,0,6,2.0
3658,2,0,1,
3658,2,0,2,1120
3658,2,0,3,
3658,2,0,4,1.0
3658,2,0,5,1.0
3658,2,0,6,2.0
710,0,0,1,
710,0,0,2,1280
710,0,0,3,
710,0,0,4,2.0
710,0,0,5,1.0
710,0,0,6,2.0
710,1,0,1,
710,1,0,2,1280
710,1,0,3,
710,1,0,4,2.0
710,1,0,5,1.0
710,1,0,6,2.0
710,2,0,1,
710,2,0,2,1280
710,2,0,3,
710,2,0,4,2.0
710,2,0,5,1.0
710,2,0,6,2.0
3555,0,0,1,
3555,0,0,2,2400
3555,0,0,3,
3555,0,0,4,1.0
3555,0,0,5,1.0
3555,0,0,6,
3557,0,0,1,
3557,0,0,2,1280
3557,0,0,3,
3557,0,0,4,1.0
3557,0,0,5,1.0
3557,0,0,6,2.0
3557,1,0,1,
3557,1,0,2,1280
3557,1,0,3,
3557,1,0,4,1.0
3557,1,0,5,1.0
3557,1,0,6,2.0
3557,2,0,1,
3557,2,0,2,1280
3557,2,0,3,
3557,2,0,4,1.0
3557,2,0,5,1.0
3557,2,0,6,2.0
5979,0,0,1,
5979,0,0,2,3160
5979,0,0,3,
5979,0,0,4,3.0
5979,0,0,5,1.0
5979,0,0,6,
3553,0,0,1,
3553,0,0,2,2020
3553,0,0,3,
3553,0,0,4,2.0
3553,0,0,5,0.5
3553,0,0,6,3.0
3553,1,0,1,
3553,1,0,2,2020
3553,1,0,3,
3553,1,0,4,2.0
3553,1,0,5,0.5
3553,1,0,6,3.0
3553,2,0,1,
3553,2,0,2,2020
3553,2,0,3,
3553,2,0,4,2.0
3553,2,0,5,0.5
3553,2,0,6,3.0
3551,0,0,1,
3551,0,0,2,2400
3551,0,0,3,
3551,0,0,4,2.0
3551,0,0,5,1.0
3551,0,0,6,4.0
3551,1,0,1,
3551,1,0,2,2400
3551,1,0,3,
3551,1,0,4,2.0
3551,1,0,5,1.0
3551,1,0,6,4.0
3551,2,0,1,
3551,2,0,2,2400
3551,2,0,3,
3551,2,0,4,2.0
3551,2,0,5,1.0
3551,2,0,6,4.0
10743,0,0,1,
10743,0,0,2,1230
10743,0,0,3,
10743,0,0,4,1.0
10743,0,0,5,1.0
10743,0,0,6,2.0
10743,1,0,1,
10743,1,0,2,1230
10743,1,0,3,
10743,1,0,4,1.0
10743,1,0,5,1.0
10743,1,0,6,2.0
10743,2,0,1,
10743,2,0,2,1230
10743,2,0,3,
10743,2,0,4,1.0
10743,2,0,5,1.0
10743,2,0,6,2.0
10742,0,0,1,
10742,0,0,2,800
10742,0,0,3,
10742,0,0,4,1.0
10742,0,0,5,1.0
10742,0,0,6,2.0
10742,1,0,1,
10742,1,0,2,800
10742,1,0,3,
10742,1,0,4,1.0
10742,1,0,5,1.0
10742,1,0,6,2.0
10742,2,0,1,
10742,2,0,2,800
10742,2,0,3,
10742,2,0,4,1.0
10742,2,0,5,1.0
10742,2,0,6,2.0
3556,0,0,1,
3556,0,0,2,480
3556,0,0,3,
3556,0,0,4,1.0
3556,0,0,5,0.5
3556,0,0,6,1.0
3556,1,0,1,
3556,1,0,2,480
3556,1,0,3,
3556,1,0,4,1.0
3556,1,0,5,0.5
3556,1,0,6,1.0
3556,2,0,1,
3556,2,0,2,480
3556,2,0,3,
3556,2,0,4,1.0
3556,2,0,5,0.5
3556,2,0,6,1.0
330,0,0,1,2500.0
330,0,0,2,625
330,0,0,3,
330,0,0,4,1.0
330,0,0,5,1.0
330,0,0,6,
330,1,0,1,2500.0
330,1,0,2,625
330,1,0,3,
330,1,0,4,1.0
330,1,0,5,1.0
330,1,0,6,
330,2,0,1,2500.0
330,2,0,2,625
330,2,0,3,
330,2,0,4,1.0
330,2,0,5,1.0
330,2,0,6,
330,3,0,1,2500.0
330,3,0,2,625
330,3,0,3,
330,3,0,4,1.0
330,3,0,5,1.0
330,3,0,6,
330,4,0,1,2500.0
330,4,0,2,625
330,4,0,3,
330,4,0,4,1.0
330,4,0,5,1.0
330,4,0,6,
4078,0,0,1,
4078,0,0,2,7500
4078,0,0,3,
4078,0,0,4,2.0
4078,0,0,5,1.0
4078,0,0,6,7.0
4078,1,0,1,
4078,1,0,2,7500
4078,1,0,3,
4078,1,0,4,2.0
4078,1,0,5,1.0
4078,1,0,6,7.0
4078,2,0,1,
4078,2,0,2,7500
4078,2,0,3,
4078,2,0,4,2.0
4078,2,0,5,1.0
4078,2,0,6,7.0
4078,3,0,1,
4078,3,0,2,7500
4078,3,0,3,
4078,3,0,4,2.0
4078,3,0,5,1.0
4078,3,0,6,7.0
1266,0,0,1,
1266,0,0,2,2100
1266,0,0,3,
1266,0,0,4,1.0
1266,0,0,5,1.0
1266,0,0,6,
1330,0,0,1,2000.0
1330,0,0,2,500
1330,0,0,3,
1330,0,0,4,2.0
1330,0,0,5,1.0
1330,0,0,6,
1330,1,0,1,2000.0
1330,1,0,2,500
1330,1,0,3,
1330,1,0,4,2.0
1330,1,0,5,1.0
1330,1,0,6,
1330,2,0,1,2000.0
1330,2,0,2,500
1330,2,0,3,
1330,2,0,4,2.0
1330,2,0,5,1.0
1330,2,0,6,
4226,0,0,1,11000.0
4226,0,0,2,2750
4226,0,0,3,
4226,0,0,4,2.0
4226,0,0,5,2.0
4226,0,0,6,
4226,1,0,1,11000.0
4226,1,0,2,2750
4226,1,0,3,
4226,1,0,4,2.0
4226,1,0,5,2.0
4226,1,0,6,
4226,2,0,1,11000.0
4226,2,0,2,2750
4226,2,0,3,
4226,2,0,4,2.0
4226,2,0,5,2.0
4226,2,0,6,
1229,0,0,1,3300.0
1229,0,0,2,825
1229,0,0,3,
1229,0,0,4,1.0
1229,0,0,5,1.0
1229,0,0,6,
1229,1,0,1,3300.0
1229,1,0,2,825
1229,1,0,3,
1229,1,0,4,1.0
1229,1,0,5,1.0
1229,1,0,6,
1229,2,0,1,3300.0
1229,2,0,2,825
1229,2,0,3,
1229,2,0,4,1.0
1229,2,0,5,1.0
1229,2,0,6,
664,0,0,1,920.0
664,0,0,2,230
664,0,0,3,
664,0,0,4,2.0
664,0,0,5,1.0
664,0,0,6,
664,1,0,1,920.0
664,1,0,2,230
664,1,0,3,
664,1,0,4,2.0
664,1,0,5,1.0
664,1,0,6,
664,2,0,1,920.0
664,2,0,2,230
664,2,0,3,
664,2,0,4,2.0
664,2,0,5,1.0
664,2,0,6,
664,3,0,1,920.0
664,3,0,2,230
664,3,0,3,
664,3,0,4,2.0
664,3,0,5,1.0
664,3,0,6,
664,4,0,1,920.0
664,4,0,2,230
664,4,0,3,
664,4,0,4,2.0
664,4,0,5,1.0
664,4,0,6,
664,5,0,1,920.0
664,5,0,2,230
664,5,0,3,
664,5,0,4,2.0
664,5,0,5,1.0
664,5,0,6,
3468,0,0,1,380.0
3468,0,0,2,95
3468,0,0,3,
3468,0,0,4,2.0
3468,0,0,5,1.0
3468,0,0,6,1.0
3468,0,1,1,380.0
3468,0,1,2,95
3468,0,1,3,
3468,0,1,4,2.0
3468,0,1,5,1.0
3468,0,1,6,1.0
3468,0,2,1,380.0
3468,0,2,2,95
3468,0,2,3,
3468,0,2,4,2.0
3468,0,2,5,1.0
3468,0,2,6,1.0
3468,0,3,1,380.0
3468,0,3,2,95
3468,0,3,3,
3468,0,3,4,2.0
3468,0,3,5,1.0
3468,0,3,6,1.0
3468,0,4,1,380.0
3468,0,4,2,95
3468,0,4,3,
3468,0,4,4,2.0
3468,0,4,5,1.0
3468,0,4,6,1.0
3468,0,5,1,380.0
3468,0,5,2,95
3468,0,5,3,
3468,0,5,4,2.0
3468,0,5,5,1.0
3468,0,5,6,1.0
3468,0,6,1,380.0
3468,0,6,2,95
3468,0,6,3,
3468,0,6,4,2.0
3468,0,6,5,1.0
3468,0,6,6,1.0
3406,0,0,1,
3406,0,0,2,2400
3406,0,0,3,
3406,0,0,4,1.0
3406,0,0,5,1.0
3406,0,0,6,4.0
3406,1,0,1,
3406,1,0,2,2400
3406,1,0,3,
3406,1,0,4,1.0
3406,1,0,5,1.0
3406,1,0,6,4.0
3406,2,0,1,
3406,2,0,2,2400
3406,2,0,3,
3406,2,0,4,1.0
3406,2,0,5,1.0
3406,2,0,6,4.0
3406,3,0,1,
3406,3,0,2,2400
3406,3,0,3,
3406,3,0,4,1.0
3406,3,0,5,1.0
3406,3,0,6,4.0
3406,4,0,1,
3406,4,0,2,2400
3406,4,0,3,
3406,4,0,4,1.0
3406,4,0,5,1.0
3406,4,0,6,4.0
4098,0,0,1,1800.0
4098,0,0,2,450
4098,0,0,3,
4098,0,0,4,1.0
4098,0,0,5,1.0
4098,0,0,6,
3966,0,0,1,
3966,0,0,2,3200
3966,0,0,3,
3966,0,0,4,2.0
3966,0,0,5,2.0
3966,0,0,6,5.0
3966,1,0,1,
3966,1,0,2,3200
3966,1,0,3,
3966,1,0,4,2.0
3966,1,0,5,2.0
3966,1,0,6,5.0
3966,2,0,1,
3966,2,0,2,3200
3966,2,0,3,
3966,2,0,4,2.0
3966,2,0,5,2.0
3966,2,0,6,5.0
3966,3,0,1,
3966,3,0,2,3200
3966,3,0,3,
3966,3,0,4,2.0
3966,3,0,5,2.0
3966,3,0,6,5.0
3966,4,0,1,
3966,4,0,2,3200
3966,4,0,3,
3966,4,0,4,2.0
3966,4,0,5,2.0
3966,4,0,6,5.0
3966,5,0,1,
3966,5,0,2,3200
3966,5,0,3,
3966,5,0,4,2.0
3966,5,0,5,2.0
3966,5,0,6,5.0
863,0,0,1,77000.0
863,0,0,2,19250
863,0,0,3,
863,0,0,4,2.0
863,0,0,5,1.0
863,0,0,6,
863,1,0,1,77000.0
863,1,0,2,19250
863,1,0,3,
863,1,0,4,2.0
863,1,0,5,1.0
863,1,0,6,
863,2,0,1,77000.0
863,2,0,2,19250
863,2,0,3,
863,2,0,4,2.0
863,2,0,5,1.0
863,2,0,6,
331,0,0,1,
331,0,0,2,900
331,0,0,3,
331,0,0,4,1.0
331,0,0,5,1.0
331,0,0,6,2.0
331,1,0,1,
331,1,0,2,900
331,1,0,3,
331,1,0,4,1.0
331,1,0,5,1.0
331,1,0,6,2.0
331,2,0,1,
331,2,0,2,900
331,2,0,3,
331,2,0,4,1.0
331,2,0,5,1.0
331,2,0,6,2.0
331,3,0,1,
331,3,0,2,900
331,3,0,3,
331,3,0,4,1.0
331,3,0,5,1.0
331,3,0,6,2.0
865,0,0,1,
865,0,0,2,960
865,0,0,3,
865,0,0,4,1.0
865,0,0,5,1.0
865,0,0,6,2.0
865,1,0,1,
865,1,0,2,960
865,1,0,3,
865,1,0,4,1.0
865,1,0,5,1.0
865,1,0,6,2.0
865,2,0,1,
865,2,0,2,960
865,2,0,3,
865,2,0,4,1.0
865,2,0,5,1.0
865,2,0,6,2.0
865,3,0,1,
865,3,0,2,960
865,3,0,3,
865,3,0,4,1.0
865,3,0,5,1.0
865,3,0,6,2.0
865,4,0,1,
865,4,0,2,960
865,4,0,3,
865,4,0,4,1.0
865,4,0,5,1.0
865,4,0,6,2.0
333,0,0,1,
333,0,0,2,840
333,0,0,3,
333,0,0,4,1.0
333,0,0,5,1.0
333,0,0,6,2.0
333,1,0,1,
333,1,0,2,840
333,1,0,3,
333,1,0,4,1.0
333,1,0,5,1.0
333,1,0,6,2.0
333,2,0,1,
333,2,0,2,840
333,2,0,3,
333,2,0,4,1.0
333,2,0,5,1.0
333,2,0,6,2.0
333,3,0,1,
333,3,0,2,840
333,3,0,3,
333,3,0,4,1.0
333,3,0,5,1.0
333,3,0,6,2.0
333,4,0,1,
333,4,0,2,840
333,4,0,3,
333,4,0,4,1.0
333,4,0,5,1.0
333,4,0,6,2.0
333,5,0,1,
333,5,0,2,840
333,5,0,3,
333,5,0,4,1.0
333,5,0,5,1.0
333,5,0,6,2.0
3594,0,0,1,
3594,0,0,2,300
3594,0,0,3,
3594,0,0,4,2.0
3594,0,0,5,1.0
3594,0,0,6,1.0
